Feature,Importance
CustomerID_AC-106976,1.578552606392371e-09
TransactionDate_2024-08-16,1.5719858968053743e-09
CustomerID_AC-103553,1.5719032611119993e-09
CustomerID_AC-109283,1.5422850423472415e-09
CustomerID_AC-109536,1.5415331301500202e-09
CustomerID_AC-101536,1.5311203755387035e-09
TransactionDate_2024-10-17,1.523438802239823e-09
CustomerID_AC-100078,1.5137744173330248e-09
TransactionDate_2024-02-17,1.5096243220889584e-09
CustomerID_AC-102643,1.4977567571928611e-09
CustomerID_AC-102675,1.4945873414352986e-09
TransactionDate_2024-11-20,1.4936753722902164e-09
CustomerID_AC-101046,1.4868757381759793e-09
TransactionDate_2024-09-25,1.463483723009476e-09
TransactionDate_2024-11-26,1.4602404015997252e-09
CustomerID_AC-107862,1.4551544218201453e-09
TransactionDate_2024-07-02,1.4380826416246963e-09
CustomerID_AC-106977,1.4097547818737351e-09
CustomerID_AC-108854,1.403218474707173e-09
TransactionDate_2025-01-13,1.4014183813974604e-09
CustomerID_AC-103169,1.3912864350256997e-09
CustomerID_AC-108291,1.3904855740301734e-09
CustomerID_AC-100938,1.3845892000167492e-09
CustomerID_AC-103137,1.3663494376851079e-09
CustomerID_AC-109571,1.3649236736865685e-09
TransactionDate_2025-04-12,1.3386851087332399e-09
TransactionDate_2024-03-30,1.3316747820227701e-09
CustomerID_AC-102839,1.3289136987763048e-09
TransactionDate_2024-10-06,1.3234179340909928e-09
TransactionDate_2024-10-07,1.3224706164186805e-09
TransactionDate_2024-12-31,1.3134252120995468e-09
TransactionDate_2024-06-21,1.3001947177359076e-09
TransactionDate_2025-04-15,1.296774296853739e-09
CustomerID_AC-108128,1.2957565367171215e-09
CustomerID_AC-107933,1.29337420713421e-09
CustomerID_AC-101193,1.2871023023318597e-09
CustomerID_AC-101405,1.280392038978855e-09
CustomerID_AC-105275,1.2773542688179107e-09
TransactionDate_2024-12-17,1.2681209225683657e-09
CustomerID_AC-109103,1.2628094403446753e-09
CustomerID_AC-106373,1.250041654344389e-09
CustomerID_AC-105182,1.2484596347392098e-09
CustomerID_AC-103911,1.2424439735983434e-09
CustomerID_AC-102483,1.2341592264614602e-09
TransactionDate_2024-03-11,1.2265100539179267e-09
TransactionDate_2025-05-11,1.195446606906622e-09
TransactionDate_2024-01-15,1.1801462332171377e-09
CustomerID_AC-109314,1.1764766186223664e-09
TransactionDate_2024-10-25,1.169473002621238e-09
TransactionDate_2024-03-01,1.166371845997693e-09
CustomerID_AC-106943,1.1650913171401236e-09
CustomerID_AC-109292,1.1616417712777812e-09
CustomerID_AC-108031,1.1477114946269902e-09
CustomerID_AC-108052,1.1470497861681764e-09
TransactionDate_2024-12-21,1.1415086697931395e-09
CustomerID_AC-101095,1.1220482872073513e-09
CustomerID_AC-108734,1.1217538171684802e-09
CustomerID_AC-105848,1.1213010043566386e-09
CustomerID_AC-109815,1.1189915919745853e-09
CustomerID_AC-102716,1.1159692984022165e-09
CustomerID_AC-101912,1.1151220539330066e-09
TransactionDate_2024-09-23,1.1108227878872394e-09
CustomerID_AC-100762,1.1050566067301063e-09
CustomerID_AC-107430,1.1041080251132137e-09
CustomerID_AC-104113,1.1003049401722003e-09
CustomerID_AC-109595,1.0806635635304958e-09
CustomerID_AC-107212,1.073659481382265e-09
CustomerID_AC-104391,1.0717122008660123e-09
CustomerID_AC-106704,1.070826264195124e-09
TransactionDate_2024-11-13,1.0688838117409556e-09
TransactionDate_2025-03-10,1.0667045892663597e-09
CustomerID_AC-109202,1.0551548249031503e-09
CustomerID_AC-104196,1.040347845566947e-09
CustomerID_AC-104904,1.036938925633476e-09
CustomerID_AC-102200,1.02764651869006e-09
CustomerID_AC-109391,1.026860372616478e-09
TransactionDate_2025-01-28,1.019088327500229e-09
CustomerID_AC-109428,1.0180351604199971e-09
CustomerID_AC-107905,1.0091716488740935e-09
TransactionDate_2024-11-07,9.97381190561412e-10
CustomerID_AC-107373,9.964454896206448e-10
CustomerID_AC-103677,9.730759292925407e-10
TransactionDate_2024-02-20,9.725914633365628e-10
CustomerID_AC-100435,9.642983137046665e-10
TransactionDate_2024-09-12,9.611718923011071e-10
TransactionDate_2025-02-09,9.57106096356912e-10
TransactionDate_2025-02-23,9.42122459039464e-10
TransactionDate_2025-02-21,9.37704205792258e-10
TransactionDate_2024-10-05,9.306670198016752e-10
TransactionDate_2024-05-31,9.209154703861592e-10
TransactionDate_2025-02-24,9.202767057159657e-10
TransactionDate_2024-10-12,9.188366776496771e-10
CustomerID_AC-103646,9.179688658801256e-10
TransactionDate_2024-05-09,9.175204429432699e-10
CustomerID_AC-103150,9.130454436963757e-10
TransactionDate_2025-06-05,8.967923287425495e-10
CustomerID_AC-109961,8.840950776669723e-10
CustomerID_AC-102894,8.84091377751248e-10
CustomerID_AC-109545,8.741995873844148e-10
TransactionDate_2024-11-29,8.69566096376333e-10
CustomerID_AC-107502,8.462292193068279e-10
CustomerID_AC-100584,8.460548843513195e-10
CustomerID_AC-105846,8.452257760784535e-10
TransactionDate_2024-02-16,8.435801385299689e-10
TransactionDate_2024-03-02,8.434956452145802e-10
CustomerID_AC-106801,8.423262844171122e-10
CustomerID_AC-105477,8.367362171736226e-10
CustomerID_AC-106395,8.357748320292493e-10
CustomerID_AC-102648,8.337511692112418e-10
CustomerID_AC-105245,8.333311859238758e-10
CustomerID_AC-109216,8.268835956052859e-10
TransactionDate_2024-11-21,8.248119663797072e-10
TransactionDate_2025-05-28,8.069110966706925e-10
TransactionDate_2024-12-11,8.052286048953303e-10
CustomerID_AC-107061,8.034964740085002e-10
TransactionDate_2024-07-04,8.029426549737704e-10
TransactionDate_2025-05-04,8.01703055449898e-10
TransactionDate_2025-01-14,7.98717776132307e-10
CustomerID_AC-103606,7.92039496814725e-10
TransactionDate_2025-06-11,7.909698236634418e-10
CustomerID_AC-107778,7.873502143102898e-10
CustomerID_AC-103856,7.867093962821019e-10
CustomerID_AC-106273,7.851993182907527e-10
CustomerID_AC-104730,7.844295364364433e-10
CustomerID_AC-101708,7.825980010767532e-10
CustomerID_AC-100915,7.742033449755855e-10
CustomerID_AC-101247,7.740432377884802e-10
TransactionDate_2024-10-16,7.731036825833923e-10
CustomerID_AC-102275,7.659904979412225e-10
CustomerID_AC-100994,7.652756308686414e-10
TransactionDate_2024-10-31,7.647224087474972e-10
TransactionDate_2024-07-31,7.632224442627171e-10
TransactionDate_2024-04-17,7.62305927391362e-10
CustomerID_AC-107986,7.607953841621247e-10
CustomerID_AC-101827,7.602718521138429e-10
CustomerID_AC-108106,7.589842980156911e-10
CustomerID_AC-103476,7.563545554881843e-10
CustomerID_AC-105759,7.444560486138412e-10
TransactionDate_2024-02-13,7.441952082409405e-10
CustomerID_AC-101626,7.415343066350159e-10
TransactionDate_2024-04-16,7.387856189935118e-10
TransactionDate_2024-01-20,7.384375843335091e-10
TransactionDate_2024-03-03,7.383437466164192e-10
TransactionDate_2024-05-07,7.319156656337169e-10
TransactionDate_2025-01-04,7.298862781473595e-10
TransactionDate_2024-01-05,7.298228586332948e-10
TransactionDate_2024-04-15,7.244556485148413e-10
CustomerID_AC-101548,7.171879513755187e-10
TransactionDate_2025-05-14,7.104672681023632e-10
TransactionDate_2024-11-30,7.022207409645353e-10
TransactionDate_2025-01-27,7.013051307401389e-10
CustomerID_AC-100425,7.011482381719833e-10
CustomerID_AC-103481,6.988254168589683e-10
TransactionDate_2025-01-22,6.983835430701294e-10
TransactionDate_2024-07-17,6.929251283843472e-10
CustomerID_AC-101567,6.900846412438104e-10
CustomerID_AC-103536,6.707883087954601e-10
CustomerID_AC-105735,6.676562703978796e-10
TransactionDate_2024-11-22,6.666888804854584e-10
CustomerID_AC-108648,6.656532919475125e-10
CustomerID_AC-104921,6.656401267107783e-10
CustomerID_AC-109026,6.642528958744483e-10
CustomerID_AC-104831,6.619274508212526e-10
TransactionDate_2024-02-02,6.570540915744493e-10
CustomerID_AC-107272,6.54253666464693e-10
